speaker,text,start_time,end_time,cleaned_text,is_question,is_exclamation,contains_negation,contains_reference,contains_agreement,contains_disagreement,contains_emotion_words,contains_personal_attack,contains_group_identity,contains_emphasis,contains_conditional,sentence_length
WALLACE,"Good evening from the Health Education Campus of Case Western Reserve University and the Cleveland Clinic. I’m Chris Wallace of Fox News and I welcome you to the first of the 2020 presidential debates between President Donald J. Trump and former Vice President Joe Biden. This debate is sponsored by the Commission on Presidential Debates. The Commission has designed the format, six roughly 15-minute segments with two-minute answers from each candidate to the first question, then open discussion for the rest of each segment. Both campaigns have agreed to these rules. For the record, I decided the topics and the questions in each topic. I can assure you none of the questions has been shared with the Commission or the two candidates.",,,"good evening from the health education campus of case western reserve university and the cleveland clinic. i m chris wallace of fox news and i welcome you to the first of the 2020 presidential debates between president donald j. trump and former vice president joe biden. this debate is sponsored by the commission on presidential debates. the commission has designed the format, six roughly 15-minute segments with two-minute answers from each candidate to the first question, then open discussion for the rest of each segment. both campaigns have agreed to these rules. for the record, i decided the topics and the questions in each topic. i can assure you none of the questions has been shared with the commission or the two candidates.",False,False,False,True,False,False,False,False,False,False,False,123
BIDEN,"How you doing, man?",,,"how you doing, man?",True,False,False,True,False,False,False,False,False,False,False,4
TRUMP,How are you doing?,,,how are you doing?,True,False,False,True,False,False,False,False,False,False,False,4
BIDEN,I’m well.,,,i m well.,False,False,False,False,False,False,False,False,False,False,False,3
WALLACE,"Gentlemen, a lot of people have been waiting for this night, so let’s get going. Our first subject is the Supreme Court. President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the Court. You say the Constitution is clear about your obligation and the Senate’s to consider a nominee to the Court. Vice President Biden, you say that this is an effort by the President and Republicans to jam through on an appointment in what you call an abuse of power. My first question to both of you tonight, why are you right in the argument you make and your opponent wrong? And where do you think a Justice Barrett would take the court? President Trump, in this first segment, you go first. Two minutes.",,,"gentlemen, a lot of people have been waiting for this night, so let s get going. our first subject is the supreme court. president trump, you nominated amy coney barrett over the weekend to succeed the late ruth bader ginsburg on the court. you say the constitution is clear about your obligation and the senate s to consider a nominee to the court. vice president biden, you say that this is an effort by the president and republicans to jam through on an appointment in what you call an abuse of power. my first question to both of you tonight, why are you right in the argument you make and your opponent wrong? and where do you think a justice barrett would take the court? president trump, in this first segment, you go first. two minutes.",False,False,False,True,True,False,False,False,False,False,False,136
TRUMP,"Thank you very much, Chris. I will tell you very simply. We won the election. Elections have consequences. We have the Senate, we have the White House, and we have a phenomenal nominee respected by all. Top, top academic, good in every way. Good in every way. In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places. So I think she’s going to be fantastic. We have plenty of time. Even if we did it after the election itself. I have a lot of time after the election, as you know. So I think that she will be outstanding. She’s going to be as good as anybody that has served on that court. We really feel that. We have a professor at Notre Dame, highly respected by all, said she’s the single greatest student he’s ever had. He’s been a professor for a long time at a great school.",,,"thank you very much, chris. i will tell you very simply. we won the election. elections have consequences. we have the senate, we have the white house, and we have a phenomenal nominee respected by all. top, top academic, good in every way. good in every way. in fact, some of her biggest endorsers are very liberal people from notre dame and other places. so i think she s going to be fantastic. we have plenty of time. even if we did it after the election itself. i have a lot of time after the election, as . so i think that she will be outstanding. she s going to be as good as anybody that has served on that court. we really feel that. we have a professor at notre dame, highly respected by all, said she s the single greatest student he s ever had. he s been a professor for a long time at a great school.",False,False,False,True,False,False,False,False,True,True,True,160
WALLACE,"President Trump, thank you. Same question to you, Vice President Biden. You have two minutes.",,,"president trump, thank you. same question to you, vice president biden. you have two minutes.",False,False,False,True,False,False,False,False,False,False,False,15
BIDEN,"Well, first of all, thank you for doing this and looking forward to this, Mr. President.",,,"well, first of all, thank you for doing this and looking forward to this, mr. president.",False,False,False,True,False,False,False,False,False,False,False,16
TRUMP,"Thank you, Joe.",,,"thank you, joe.",False,False,False,False,False,False,False,False,False,False,False,3
BIDEN,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They’re not going to get that chance now because we’re in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.,,,the american people have a right to have a say in who the supreme court nominee is and that say occurs when they vote for united states senators and when they vote for the president of united states. they re not going to get that chance now because we re in the middle of an election already. the election has already started. tens of thousands of people already voted and so the thing that should happen is we should wait. we should wait and see what the outcome of this election is because that s the only way the american people get to express their view is by who they elect as president and who they elect as vice president.,False,False,True,True,True,True,False,False,True,False,False,120
TRUMP,"There aren’t a hundred million people with pre-existing conditions. As far as a say is concerned, the people already had their say. Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years. We’re not elected for three years. I’m not elected for three years. So we have the Senate, we have a President-",,,"there aren t a hundred million people with pre-existing conditions. as far as a say is concerned, the people already had their say. okay, justice ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a president and the senate is elected for a period of time, but a president is elected for four years. we re not elected for three years. i m not elected for three years. so we have the senate, we have a president-",False,False,True,True,False,True,False,False,True,True,False,84
BIDEN,He’s elected to the next election.,,,he s elected to the next election.,False,False,False,True,False,False,False,False,False,False,False,7
TRUMP,"During that period of time, during that period of time, we have an opening. I’m not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy with.",,,"during that period of time, during that period of time, we have an opening. i m not elected for three years. i m elected for four years. joe, the hundred million people is totally wrong. i don t know where you got that number. the bigger problem that you have is that you re going to extinguish 180 million people with their private health care, that they re very happy with.",False,False,True,True,False,True,True,False,True,True,False,71
BIDEN,That’s simply not true.,,,that s simply not true.,False,False,True,False,False,True,False,False,False,False,False,5
TRUMP,"Well, you’re certainly going to socialist. You’re going to socialist medicine-",,,"well, you re certainly going to socialist. you re going to socialist medicine-",False,False,False,True,False,False,False,False,False,False,False,13
WALLACE,"Gentlemen, we’re now into open discussion.",,,"gentlemen, we re now into open discussion.",False,False,False,False,False,False,False,False,True,False,False,7
BIDEN,Open discussion.,,,open discussion.,False,False,False,False,False,False,False,False,False,False,False,2
WALLACE,"Open discussion, yes, I agree. Go ahead, Vice President.",,,"open discussion, yes, i agree. go ahead, vice president.",False,False,False,False,False,False,False,False,False,False,False,9
BIDEN,"Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal.",,,"number one, he knows what i proposed. what i proposed is that we expand obamacare and we increase it. we do not wipe any. and one of the big debates we had with 23 of my colleagues trying to win the nomination that i won, were saying that biden wanted to allow people to have private insurance still. they can. they do. they will under my proposal.",False,False,True,True,False,True,False,False,True,False,False,67
TRUMP,That’s not what you’ve said and it’s not what your party is saying.,,,that s not what you ve said and it s not what your party is saying.,False,False,True,True,False,True,False,False,False,False,False,16
BIDEN,That is simply a lie.,,,that is simply a lie.,False,False,False,False,False,False,False,False,False,False,False,5
TRUMP,Your party doesn’t say it. Your party wants to go socialist medicine and socialist healthcare.,,,your party doesn t say it. your party wants to go socialist medicine and socialist healthcare.,False,False,False,False,False,False,False,False,False,False,False,16
BIDEN,"The party is me. Right now, I am the Democratic Party.",,,"the party is me. right now, i am the democratic party.",False,False,False,False,True,False,False,False,False,False,False,11
TRUMP,"And they’re going to dominate you, Joe. You know that.",,,"and they re going to dominate you, joe. that.",False,False,False,True,False,False,False,False,True,False,False,9
BIDEN,I am the Democratic Party right now.,,,i am the democratic party right now.,False,False,False,False,True,False,False,False,False,False,False,7
TRUMP,Not according to Harris.,,,not according to harris.,False,False,True,False,False,True,False,False,False,False,False,4
BIDEN,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here’s the deal. The deal is that it’s going to wipe out pre-existing conditions. And, by the way, the 200,000 people that have died on his watch, how many of those have survived? Well, there’s seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?",,,"the platform of the democratic party is what i, in fact, approved of, what i approved of. now, here s the deal. the deal is that it s going to wipe out pre-existing conditions. and, by the way, the 200,000 people that have died on his watch, how many of those have survived? well, there s seven million people that contracted covid. what does it mean for them going forward if you strike down the affordable care act?",True,False,False,True,False,False,False,False,True,False,True,78
TRUMP,"Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military. So don’t tell me about this.",,,"joe, you ve had 308,000 military people dying because you couldn t provide them proper healthcare in the military. so don t tell me about this.",False,False,False,True,False,False,False,False,True,False,False,26
BIDEN,I’m happy to talk about this.,,,i m happy to talk about this.,False,False,False,False,False,False,True,False,False,False,False,7
TRUMP,"And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw. You didn’t want me to ban China, which was heavily infected. You didn’t want me to ban Europe.",,,"and if you were here, it wouldn t be 200, it would be two million people because you were very late on the draw. you didn t want me to ban china, which was heavily infected. you didn t want me to ban europe.",False,False,False,True,False,False,False,False,False,True,True,44
WALLACE,"All right, gentlemen, Mr. President.",,,"all right, gentlemen, mr. president.",False,False,False,False,False,False,False,False,False,False,False,5
TRUMP,"You would have been much later, Joe, much later.",,,"you would have been much later, joe, much later.",False,False,False,True,False,False,False,False,False,False,False,9
WALLACE,Mr. President.,,,mr. president.,False,False,False,False,False,False,False,False,False,False,False,2
TRUMP,We’re talking about two million people.,,,we re talking about two million people.,False,False,False,False,False,False,False,False,True,False,False,7
BIDEN,You’re not going to be able to shut him up.,,,you re not going to be able to shut him up.,False,False,True,True,False,True,False,False,False,False,False,11
WALLACE,"Mr. President, as the moderator, we are going to talk about COVID in the next segment. But go ahead.",,,"mr. president, as the moderator, we are going to talk about covid in the next segment. but go ahead.",False,False,False,False,False,False,False,False,True,False,False,19
BIDEN,"Let me finish. The point is that the President also is opposed to Roe V. Wade. That’s on the ballot as well and the court, in the court, and so that’s also at stake right now. And so the election is all-",,,"let me finish. the point is that the president also is opposed to roe v. wade. that s on the ballot as well and the court, in the court, and so that s also at stake right now. and so the election is all-",False,False,False,False,True,False,False,False,False,False,False,44
TRUMP,You don’t know what’s on the ballot. Why is it on the ballot? Why is it on the ballot? It’s not on the ballot.,,,you don t know what s on the ballot. why is it on the ballot? why is it on the ballot? it s not on the ballot.,False,False,True,True,False,True,False,False,False,False,False,27
BIDEN,It’s on the ballot in the court.,,,it s on the ballot in the court.,False,False,False,False,False,False,False,False,False,False,False,8
TRUMP,I don’t think so.,,,i don t think so.,False,False,False,False,False,False,False,False,False,False,False,5
BIDEN,In the court.,,,in the court.,False,False,False,False,False,False,False,False,False,False,False,3
TRUMP,There’s nothing happening there.,,,there s nothing happening there.,False,False,False,False,False,False,False,False,False,False,False,5
BIDEN,Donald would you just be quiet for a minute.,,,donald would you just be quiet for a minute.,False,False,False,True,False,False,False,False,False,False,False,9
TRUMP,You don’t know her view on Roe V. Wade? You don’t know her view.,,,you don t know her view on roe v. wade? you don t know her view.,False,False,False,True,False,False,False,False,False,False,False,16
WALLACE,"Well, all right. All right. Let’s talk. We’ve got a lot to unpack here, gentlemen. We’ve got a lot of time. On healthcare, and then we’ll come back to Roe V. Wade.",,,"well, all right. all right. let s talk. we ve got a lot to unpack here, gentlemen. we ve got a lot of time. on healthcare, and then we ll come back to roe v. wade.",False,False,False,False,False,False,False,False,True,False,False,36
BIDEN,All right.,,,all right.,False,False,False,False,False,False,False,False,False,False,False,2
WALLACE,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare.",,,"mr. president, the supreme court will hear a case a week after the election in which the trump administration, along with 18 state attorney generals are seeking to overturn obamacare, to end obamacare.",False,False,False,False,False,False,False,False,False,False,False,33
TRUMP,That’s right.,,,that s right.,False,False,False,False,False,False,False,False,False,False,False,3
WALLACE,You have spent the last week-,,,you have spent the last week-,False,False,False,True,False,False,False,False,False,False,False,6
TRUMP,Because they want to give good healthcare.,,,because they want to give good healthcare.,False,False,False,True,False,False,False,False,True,False,False,7
WALLACE,"If I may ask my question, sir.",,,"if i may ask my question, sir.",False,False,False,False,False,False,False,False,False,False,True,7
BIDEN,Good healthcare.,,,good healthcare.,False,False,False,False,False,False,False,False,False,False,False,2
WALLACE,"Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare.",,,"over the last four years, you have promised to repeal and replace obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace obamacare.",False,False,True,True,False,True,False,False,False,False,False,32
TRUMP,"Yes, I have. Of course, I have. The individual mandate.",,,"yes, i have. of course, i have. the individual mandate.",False,False,False,False,False,False,False,False,False,False,False,10
WALLACE,[crosstalk] when I finish I’m going to give an opportunity-,,,[crosstalk] when i finish i m going to give an opportunity-,False,False,False,False,False,False,False,False,False,False,False,11
